Source IP,Destination IP,Protocol,Length,Anomaly,Port
192.168.0.53,23.11.39.161,6,307,-1,63313.0
23.11.39.161,192.168.0.53,6,54,1,80.0
23.11.39.161,192.168.0.53,6,1506,-1,80.0
23.11.39.161,192.168.0.53,6,233,1,80.0
192.168.0.53,23.11.39.161,6,54,1,63313.0
192.168.0.53,23.62.12.107,6,55,1,51837.0
23.62.12.107,192.168.0.53,6,66,1,443.0
192.168.0.53,239.255.255.250,17,143,1,57117.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
192.168.0.53,142.250.4.188,6,55,1,59429.0
142.250.4.188,192.168.0.53,6,66,1,5228.0
192.168.0.53,142.251.221.202,17,245,1,56453.0
142.251.221.202,192.168.0.53,17,66,1,443.0
192.168.0.53,142.251.221.202,17,188,1,56453.0
142.251.221.202,192.168.0.53,17,66,1,443.0
192.168.0.53,142.251.223.234,17,71,1,49738.0
142.251.221.202,192.168.0.53,17,185,1,443.0
142.251.221.202,192.168.0.53,17,63,1,443.0
192.168.0.53,183.82.243.66,6,88,1,55948.0
192.168.0.53,183.82.243.66,6,88,1,51793.0
192.168.0.53,183.82.243.66,6,88,1,62601.0
192.168.0.53,183.82.243.66,6,88,1,55948.0
192.168.0.53,183.82.243.66,6,88,1,51793.0
192.168.0.53,183.82.243.66,6,88,1,62601.0
